algorithm,graph_type,graph_size,n_edges,time_elapsed
Fibbo_Dijkstra,dense,50,732,0.0004245710006216541
Fibbo_Dijkstra,dense,50,732,0.00043058200026280247
Fibbo_Dijkstra,dense,50,732,0.000421262997406302
Fibbo_Dijkstra,dense,50,732,0.0004258129993104376
Fibbo_Dijkstra,dense,50,732,0.0004238170004100539
Fibbo_Dijkstra,dense,50,732,0.0004270589997759089
Fibbo_Dijkstra,dense,50,732,0.0006742080004187301
Fibbo_Dijkstra,dense,50,732,0.0004278560008970089
Fibbo_Dijkstra,dense,50,732,0.00042530599966994487
Fibbo_Dijkstra,dense,50,732,0.0004270190001989249
Fibbo_Dijkstra,dense,50,732,0.000424308000219753
Fibbo_Dijkstra,dense,50,732,0.00043260399979772046
Fibbo_Dijkstra,dense,50,732,0.0005923370008531492
Fibbo_Dijkstra,dense,50,732,0.0005811400005768519
Fibbo_Dijkstra,dense,50,732,0.0004251389982528053
Fibbo_Dijkstra,dense,50,732,0.0004305459988245275
Fibbo_Dijkstra,dense,50,732,0.000425260001065908
Fibbo_Dijkstra,dense,50,732,0.0004264920025889296
Fibbo_Dijkstra,dense,50,732,0.00042497899994486943
Fibbo_Dijkstra,dense,50,732,0.0004256850006640889
Fibbo_Dijkstra,dense,50,732,0.00042083600055775605
Fibbo_Dijkstra,dense,50,732,0.00043253499825368635
Fibbo_Dijkstra,dense,50,732,0.0004221679992042482
Fibbo_Dijkstra,dense,50,732,0.0004324469991843216
Fibbo_Dijkstra,dense,50,732,0.00042680899787228554
Fibbo_Dijkstra,dense,50,732,0.00042804700206033885
Fibbo_Dijkstra,dense,50,732,0.00042388300062157214
Fibbo_Dijkstra,dense,50,732,0.00042848099838010967
Fibbo_Dijkstra,dense,50,732,0.0005311980021360796
Fibbo_Dijkstra,dense,50,732,0.0010958979983115569
Fibbo_Dijkstra,dense,50,732,0.0007011529996816535
BMSSP,dense,50,732,0.0001992880024772603
BMSSP,dense,50,732,0.00018903700038208626
BMSSP,dense,50,732,0.00019247700038249604
BMSSP,dense,50,732,0.0002307110007677693
BMSSP,dense,50,732,0.00019404100021347404
BMSSP,dense,50,732,0.00019081900245510042
BMSSP,dense,50,732,0.0001916010005516
BMSSP,dense,50,732,0.00019149199943058193
BMSSP,dense,50,732,0.0001925710021168925
BMSSP,dense,50,732,0.00019212899860576726
BMSSP,dense,50,732,0.00018564499987405725
BMSSP,dense,50,732,0.00019092699949396774
BMSSP,dense,50,732,0.00023977500313776545
BMSSP,dense,50,732,0.00019211099788662978
BMSSP,dense,50,732,0.00019105100000160746
BMSSP,dense,50,732,0.00019144999896525405
BMSSP,dense,50,732,0.0001901600007840898
BMSSP,dense,50,732,0.00018001900025410578
BMSSP,dense,50,732,0.0001930639991769567
BMSSP,dense,50,732,0.00019631500254035927
BMSSP,dense,50,732,0.000196443001186708
BMSSP,dense,50,732,0.000209067999094259
BMSSP,dense,50,732,0.0003473659999144729
BMSSP,dense,50,732,0.00018155400175601244
BMSSP,dense,50,732,0.0001916350011015311
BMSSP,dense,50,732,0.00018697499763220549
BMSSP,dense,50,732,0.00019125600010738708
BMSSP,dense,50,732,0.0005542610015254468
BMSSP,dense,50,732,0.00018048499987344258
BMSSP,dense,50,732,0.0001803880004445091
BMSSP,dense,50,732,0.00019016299847862683
BMSSP,dense,50,732,0.00018483600069885142
BMSSP,dense,50,732,0.00019288399926153943
BMSSP,dense,50,732,0.00019313600205350667
BMSSP,dense,50,732,0.00019156399866915308
BMSSP,dense,50,732,0.0001871249987743795
BMSSP,dense,50,732,0.00017889599985210225
BMSSP,dense,50,732,0.00019383000108064152
BMSSP,dense,50,732,0.00018353799896431156
BMSSP,dense,50,732,0.00018940500012831762
BMSSP,dense,50,732,0.00019197700021322817
BMSSP,dense,50,732,0.0005518830002984032
BMSSP,dense,50,732,0.00018115700004273094
BMSSP,dense,50,732,0.00019148299907101318
BMSSP,dense,50,732,0.00022118400011095218
BMSSP,dense,50,732,0.00018076799824484624
BMSSP,dense,50,732,0.00018059200010611676
BMSSP,dense,50,732,0.00018015399837167934
BMSSP,dense,50,732,0.00017954099894268438
BMSSP,dense,50,732,0.00017813399972510524
Trad_Dijkstra,sparse,100,291,0.000794285999290878
